,function_name,migration_count,total_instruction_count,total_regs_migrated,percent_total_instructions,percent_total_migrations
0,main,0,111573,0,72.8925619835,
1,main .otd1,0,23529,0,15.3719008264,
2,main .otd1.1,0,15345,0,10.0251527129,
3,printf_core,0,707,0,0.46189527325,
4,malloc,0,575,0,0.375657400451,
5,vfprintf,0,235,0,0.153529546271,
6,__stdio_write,0,202,0,0.131970078071,
7,__fwritex,0,184,0,0.120210368144,
8,__stdout_write,0,115,0,0.0751314800902,
9,__stdio_exit,0,111,0,0.0725182112175,
10,__syscall_ret,0,86,0,0.0561852807631,
11,libc_exit_fini,0,77,0,0.0503054257995,
12,printf,0,75,0,0.0489987913631,
13,__ofl_lock,0,68,0,0.0444255708359,
14,__towrite,0,49,0,0.0320125436906,
15,exit,0,44,0,0.0287459575997,
16,__memset,0,40,0,0.026132688727,
17,__lockfile,0,30,0,0.0195995165453,
18,_Exit,0,7,0,0.00457322052723,
19,__unlockfile,0,6,0,0.00391990330905,
